SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
9.28333	296635	-	-	13.6	59842.9	10.2333	59162.2
9.31667	296536	-	-	13.6667	59762.3	10.2833	58811.9
9.35	295636	-	-	13.7167	59748	10.3167	58543.6
9.38333	295512	-	-	13.7667	59725.1	10.3667	58525
9.43333	294038	-	-	13.8333	59725.9	10.4	58489.3
9.46667	293386	-	-	13.8833	59733.3	10.45	58464.5
9.5	293446	-	-	13.9333	59544.4	10.4833	58406.7
9.53333	293472	-	-	14	59376.2	10.5333	58419.4
9.58333	293225	-	-	14.05	59151.3	10.5667	58290.4
9.61667	293079	-	-	14.1167	59033.8	10.6167	58165.2
9.65	292764	-	-	14.1667	58961.6	10.6667	57890.5
9.68333	292443	-	-	14.2167	58947.5	10.7	57840.8
9.71667	292360	-	-	14.2833	58933.5	10.75	57668.9
9.76667	292348	-	-	14.3333	58930.8	10.7833	57656.6
9.8	292374	-	-	14.3833	58934.5	10.8333	57445.3
9.83333	291953	-	-	14.45	58863.8	10.8667	57464.2
9.86667	291819	-	-	14.5	58841.4	10.9333	57419.6
9.91667	291879	-	-	14.55	58815.2	10.9667	57160.1
9.95	291938	-	-	14.6167	58816.8	11.0167	57128.2
9.98333	291753	-	-	14.6667	58733.7	11.0667	57085.1
10.0167	291397	-	-	14.7333	58689.7	11.1	57067.8
10.0667	290796	-	-	14.7833	58627.9	11.15	57072.7
10.1	290337	-	-	14.85	58611	11.1833	57024.6
10.1333	290096	-	-	14.9167	58561.9	11.25	56980.8
10.1667	289652	-	-	14.9667	58444.8	11.2833	56955.9
10.2	289480	-	-	15.0167	58400.3	11.3333	56970.7
10.25	289395	-	-	15.0833	58344.7	11.3667	56840.1
10.2833	289452	-	-	15.1333	58313.1	11.4167	56840.4
10.3167	289507	-	-	15.2	58304.7	11.4667	56737.7
10.35	289490	-	-	15.25	58288.8	11.5	56742.1
10.4	289249	-	-	15.2833	58256.8	11.55	56634.8
10.4333	289307	-	-	15.35	58255.2	11.5833	56631.5
10.4667	288992	-	-	15.4	58234.7	11.6333	56639.4
10.5	289013	-	-	15.45	58223.3	11.6667	56634.2
10.55	289071	-	-	15.5167	58218.8	11.7167	56640.8
10.5833	289129	-	-	15.5667	58216.1	11.75	56563.1
10.6167	289183	-	-	15.6167	58188.9	11.8	56555.9
10.65	289234	-	-	15.6833	58082.3	11.8333	56529.3
10.7	289169	-	-	15.7333	58085.2	11.8833	56459.4
10.7333	289197	-	-	15.8	57910.1	11.9167	56449.5
10.7667	289227	-	-	15.85	57879.3	11.9667	56416.5
10.8	288048	-	-	15.9167	57882.9	12	56372.5
10.85	287791	-	-	16	57715.5	12.05	56367
10.8833	287671	-	-	16.05	57601.7	12.0833	56342.1
10.9167	287698	-	-	16.1	57605.8	12.1333	56326.7
10.95	286412	-	-	16.1667	57503.7	12.1667	56259
11	285621	-	-	16.2167	57417.4	12.2167	56215.6
11.0333	285165	-	-	16.2667	57346.6	12.25	56203.9
11.0667	285191	-	-	16.3333	57328.2	12.3	56159.4
11.1	285069	-	-	16.3833	57300.1	12.3333	56142.6
11.15	284839	-	-	16.45	57191.9	12.3833	56106.2
11.1833	284005	-	-	16.5	57192	12.4333	56039.7
11.2167	283697	-	-	16.55	57196.3	12.4667	55937.6
11.25	283293	-	-	16.6167	57191.3	12.5	55957
11.3	283065	-	-	16.6667	57150.2	12.55	55767
11.3333	282774	-	-	16.7167	57153.8	12.6	55797.4
11.3667	280729	-	-	16.7833	57136.3	12.65	55752.1
11.4	280415	-	-	16.8333	57112.3	12.7	55659.1
11.45	280025	-	-	16.8833	57023.4	12.7333	55552.5
11.4833	280051	-	-	16.9333	56999.5	12.7833	55464.7
11.5167	280042	-	-	16.9833	56966.1	12.8333	55438.9
11.55	278876	-	-	17.05	56922.9	12.8667	55342.3
11.6	277871	-	-	17.1	56911.7	12.9167	55354.5
11.6333	277899	-	-	17.15	56865.4	12.95	55304.9
11.6667	276737	-	-	17.2167	56803.2	13	55268.4
11.7	276691	-	-	17.2667	56784.4	13.0333	55261.3
11.75	276528	-	-	17.3167	56792.8	13.0833	55129.9
11.7833	276555	-	-	17.3833	56775.9	13.1167	55074.6
11.8167	276387	-	-	17.4333	56778.8	13.1667	54997.7
11.8667	276085	-	-	17.4833	56779.4	13.2167	54967.7
11.9	276020	-	-	17.5667	56682.8	13.25	54978.8
11.9333	275934	-	-	17.6167	56683.7	13.3	54937.4
11.9667	275961	-	-	17.6833	56610.7	13.3333	54775.7
12.0167	275649	-	-	17.7333	56436.8	13.3667	54742.2
12.05	274711	-	-	17.8	56337.9	13.4167	54760.4
12.0833	274632	-	-	17.85	56210.6	13.4667	54766.6
12.1167	274034	-	-	17.9167	56170.8	13.5	54706
12.1667	273729	-	-	17.9667	56158.3	13.55	54692.8
12.2	273722	-	-	18.0167	56113.9	13.5833	54688.1
12.2333	273749	-	-	18.0833	56146.9	13.6167	54681.4
12.2833	273198	-	-	18.1333	56122.8	13.6667	54686.7
12.3167	273092	-	-	18.1833	56105.1	13.7167	54653.2
12.35	272823	-	-	18.25	56110.4	13.75	54654.7
12.3833	272357	-	-	18.3	56075.3	13.8	54603.8
12.4333	271610	-	-	18.35	56066.7	13.8333	54569.7
12.4667	271143	-	-	18.4167	55947.5	13.8833	54462.4
12.5	271169	-	-	18.4667	55933.6	13.9167	54458.6
12.5333	271194	-	-	18.5167	55850.8	13.9667	54459.5
12.5833	270991	-	-	18.5833	55828.7	14	54430.3
12.6167	270082	-	-	18.6333	55812	14.05	54425.1
12.65	269951	-	-	18.6833	55763.4	14.0833	54439.2
12.6833	269835	-	-	18.75	55768	14.1333	54462.3
12.7333	269703	-	-	18.8	55745.4	14.1833	54435.1
12.7667	269509	-	-	18.8667	55752.9	14.2167	54387.2
12.8	269534	-	-	18.9333	55709.4	14.2667	54388.5
12.8333	269560	-	-	18.9833	55615.6	14.3	54399.6
12.8667	269196	-	-	19.05	55600.1	14.35	54374.8
12.9167	269218	-	-	19.1	55593.9	14.3833	54343.2
12.95	269244	-	-	19.15	55585.6	14.4333	54356.6
12.9833	267923	-	-	19.2167	55589.2	14.4667	54351.4
13.0167	267948	-	-	19.2667	55543.1	14.5167	54209.9
13.0667	267683	-	-	19.3167	55464.6	14.55	54226.8
13.1	267587	-	-	19.3833	55471	14.6	54187.3
13.1333	267579	-	-	19.4333	55413.2	14.6333	54055.7
13.1833	266992	-	-	19.4833	55408.2	14.6833	54000.8
13.2167	266843	-	-	19.55	55409.9	14.7167	53991.4
13.25	266644	-	-	19.6	55349.2	14.7667	53836.8
13.2833	266670	-	-	19.6667	55338.7	14.8	53795.9
13.3333	266557	-	-	19.7167	55352	14.85	53734.9
13.3667	266460	-	-	19.7667	55351.5	14.8833	53679.9
13.4	266221	-	-	19.8333	55358	14.9333	53689.3
13.4333	265908	-	-	19.8833	55344	14.9667	53694.9
13.4833	265794	-	-	19.9333	55332.7	15.0167	53706.4
13.5167	265819	-	-	20	55263.9	15.0667	53721
13.55	265844	-	-	20.05	55271.7	15.1	53708.8
13.5833	265325	-	-	20.1	55259.3	15.15	53693.6
13.65	265348	-	-	20.15	55256.3	15.1833	53689.1
